site,country,largest_distance,best months for XC,num of all flights,num of 200k flights,num of 100k flights,num of 50k flights,num of 20k flights,XContest days per month,Xconotest days per year,link to XContest,longitude,latitude
"Embergeralm,...",Austria,375.3 km,Jul Apr May Jun,25191,187,2393,8344,16834,Aug:27 Jul:26 May:23 Jun:22 Apr:14 Sep:13 Mar:7 Oct:4 Feb:1 Nov:1 Dec:1 Jan:1,129,https://www.xcontest.org/world/en/flights-search/?filter[point]=13.1495%2046.7725&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,13.1495,46.7725
Bischling,Austria,361.8 km,Aug Jun Jul May,10316,18,350,1306,3689,Aug:20 Jul:16 Mar:14 Sep:12 Jun:11 Feb:10 Oct:7 May:7 Jan:6 Apr:5 Dec:4 Nov:1,97,https://www.xcontest.org/world/en/flights-search/?filter[point]=13.29273%2047.46478&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,13.29273,47.46478
Schöckl,Austria,280.98 km,Apr Jun May Jul Aug,9678,22,491,1235,2995,Aug:20 Jun:17 Jul:15 Sep:14 May:14 Apr:11 Oct:11 Mar:10 Feb:6 Dec:5 Nov:5 Jan:5,122,https://www.xcontest.org/world/en/flights-search/?filter[point]=15.47583%2047.20123&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,15.47583,47.20123
Schöckl bei...,Austria,332.17 km,Apr,9670,22,491,1229,2988,Aug:20 Jun:17 Jul:15 Sep:14 May:14 Apr:11 Oct:11 Mar:10 Feb:6 Dec:5 Nov:5 Jan:5,121,https://www.xcontest.org/world/en/flights-search/?filter[point]=15.4764%2047.1992&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,15.4764,47.1992
Kössen,Austria,323.91 km,Jun May Jul,8022,52,354,940,2144,Aug:15 Jul:15 Jun:13 May:10 Sep:8 Mar:7 Oct:3 Apr:3 Feb:2 Jan:1 Dec:0 Nov:0,73,https://www.xcontest.org/world/en/flights-search/?filter[point]=12.43117%2047.63123&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,12.43117,47.63123
"Kössen, Sch...",Austria,286.1 km,Jul Jun Aug Apr May,8017,52,354,939,2142,Aug:15 Jul:15 Jun:13 May:10 Sep:8 Mar:7 Oct:3 Apr:3 Feb:2 Jan:1 Dec:0 Nov:0,72,https://www.xcontest.org/world/en/flights-search/?filter[point]=12.4317%2047.6319&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,12.4317,47.6319
Hohe Wand,Austria,219.15 km,Apr Jul Aug Jun,7750,2,52,217,2215,Aug:15 Apr:10 Sep:10 Jun:10 Jul:9 May:9 Mar:9 Oct:9 Nov:5 Feb:4 Jan:4 Dec:3,90,https://www.xcontest.org/world/en/flights-search/?filter[point]=16.0484%2047.8284&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,16.0484,47.8284
Emberger Alm,Austria,267.72 km,May Apr Jun,6247,26,540,2197,4487,Aug:20 Jul:17 Jun:14 May:10 Sep:6 Apr:4 Oct:2 Mar:2 Dec:1 Nov:0 Feb:0,72,https://www.xcontest.org/world/en/flights-search/?filter[point]=13.148%2046.7851&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,13.148,46.7851
Bezau,Austria,188.52 km,Apr May Jun,5507,0,59,358,1332,Aug:16 Jul:13 May:13 Jun:13 Apr:9 Sep:7 Mar:7 Oct:5 Feb:3 Jan:3 Dec:2 Nov:2,87,https://www.xcontest.org/world/en/flights-search/?filter[point]=9.94507%2047.39902&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,9.94507,47.39902
Radsberg,Austria,162.61 km,Apr May,3578,0,39,283,1173,May:12 Jun:12 Apr:11 Jul:10 Aug:10 Mar:10 Sep:5 Feb:3 Oct:3 Nov:1 Jan:1 Dec:1,75,https://www.xcontest.org/world/en/flights-search/?filter[point]=14.402967%2046.572617&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,14.402967,46.572617
Kulm,Austria,248.39 km,Apr,3253,1,23,113,569,Aug:13 Jul:12 May:10 Mar:10 Jun:9 Apr:9 Sep:6 Oct:5 Feb:4 Nov:2 Jan:2 Dec:1,76,https://www.xcontest.org/world/en/flights-search/?filter[point]=15.76197%2047.22808&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,15.76197,47.22808
Gaisberg,Austria,260.9 km,Apr May Jun Jul,3194,7,127,486,1157,Jul:13 Jun:12 May:12 Apr:11 Sep:9 Mar:9 Aug:6 Oct:5 Dec:3 Nov:2 Feb:2 Jan:0,77,https://www.xcontest.org/world/en/flights-search/?filter[point]=13.11428%2047.80515&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,13.11428,47.80515
Stoderzinken,Austria,370.6 km,Jun Aug May Apr,3029,205,763,1398,2094,Aug:10 Jul:8 May:7 Jun:7 Sep:6 Mar:6 Oct:5 Apr:5 Jan:2 Feb:2 Nov:2 Dec:1,57,https://www.xcontest.org/world/en/flights-search/?filter[point]=13.82738%2047.45875&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,13.82738,47.45875
Elfer,Austria,310.81 km,May Jun Jul Aug Mar Apr,2981,2,6,22,291,Jul:14 Jun:12 Aug:10 Sep:8 Mar:7 May:6 Oct:6 Feb:3 Apr:2 Jan:2 Dec:0,66,https://www.xcontest.org/world/en/flights-search/?filter[point]=11.323117%2047.0968&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,11.323117,47.0968
Gelderkogel,Austria,157.37 km,Apr Mar May Jun Jul Aug,2931,0,13,73,320,Aug:12 Mar:8 May:7 Jun:7 Apr:7 Jul:6 Oct:6 Sep:5 Feb:3 Nov:3 Jan:2 Dec:2,64,https://www.xcontest.org/world/en/flights-search/?filter[point]=15.4813%2047.30167&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,15.4813,47.30167
Schmittenhöhe,Austria,302.72 km,Jun May Jul Apr,2889,9,385,1156,2128,Aug:10 Jun:8 Jul:8 Sep:5 May:5 Mar:4 Apr:3 Oct:1 Dec:1 Feb:0 Jan:0 Nov:0,43,https://www.xcontest.org/world/en/flights-search/?filter[point]=12.7365%2047.32928&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,12.7365,47.32928
Hensler,Austria,267.19 km,May Apr,2881,3,69,375,1110,Apr:11 Mar:9 May:9 Jun:9 Aug:8 Jul:7 Sep:6 Feb:5 Oct:5 Dec:4 Jan:2 Nov:2,73,https://www.xcontest.org/world/en/flights-search/?filter[point]=9.7391%2047.22813&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,9.7391,47.22813
Zell Am See,Austria,304.03 km,Jun,2880,9,383,1155,2121,Aug:10 Jun:8 Jul:8 Sep:5 May:5 Mar:4 Apr:3 Oct:1 Dec:1 Feb:0 Jan:0 Nov:0,43,https://www.xcontest.org/world/en/flights-search/?filter[point]=12.7358%2047.3241&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,12.7358,47.3241
Gerlitzen,Austria,157.29 km,Jul Jun Aug Mar May Apr Sep,2712,0,17,113,475,Aug:18 Jul:17 Jun:13 Sep:9 Mar:6 May:4 Feb:4 Oct:3 Apr:3 Dec:2 Jan:2,76,https://www.xcontest.org/world/en/flights-search/?filter[point]=13.915%2046.6842&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,13.915,46.6842
Burg Altpern...,Austria,210.44 km,Apr,2628,1,77,324,718,May:12 Jul:11 Jun:11 Apr:11 Aug:10 Sep:9 Mar:8 Oct:6 Feb:4 Nov:3 Dec:3 Jan:1,83,https://www.xcontest.org/world/en/flights-search/?filter[point]=14.1628%2047.885&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,14.1628,47.885
Hirschwaldstein,Austria,175.59 km,May Apr,2627,1,77,324,718,May:12 Jul:11 Jun:11 Apr:11 Aug:10 Sep:9 Mar:8 Oct:6 Feb:4 Nov:3 Dec:3 Jan:1,83,https://www.xcontest.org/world/en/flights-search/?filter[point]=14.16398%2047.88628&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,14.16398,47.88628
Neunerköpfle,Austria,221.48 km,Jun Jul May Aug Apr Mar Sep,2533,2,16,61,322,Aug:5 Jul:4 Jun:4 Sep:4 May:3 Mar:3 Oct:1 Jan:1 Feb:0 Apr:0 Dec:0 Nov:0,25,https://www.xcontest.org/world/en/flights-search/?filter[point]=10.54112%2047.48415&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,10.54112,47.48415
Zwölferhorn,Austria,184.32 km,Apr Jun Jul May Aug,2315,0,26,116,393,Aug:15 Jun:14 Jul:14 May:11 Apr:10 Sep:9 Oct:6 Mar:6 Dec:3 Feb:2 Nov:2 Jan:2,88,https://www.xcontest.org/world/en/flights-search/?filter[point]=13.35927%2047.744&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,13.35927,47.744
Feuerkogel,Austria,264.4 km,Jun May Jul Aug,2107,7,68,233,830,Jul:11 Jun:11 Aug:10 Sep:7 May:6 Mar:5 Oct:4 Feb:1 Apr:0 Jan:0 Nov:0 Dec:0,53,https://www.xcontest.org/world/en/flights-search/?filter[point]=13.72598%2047.81065&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,13.72598,47.81065
Hohe Salve,Austria,212.32 km,Jun,1998,3,72,239,724,Aug:8 Jul:7 Mar:7 Jun:6 Sep:4 Feb:4 May:3 Oct:3 Apr:2 Jan:2 Dec:1 Nov:0,46,https://www.xcontest.org/world/en/flights-search/?filter[point]=12.20288%2047.46532&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,12.20288,47.46532
Rührer,Austria,132.41 km,Apr Jul Mar,1863,0,8,84,383,Aug:10 Mar:8 Apr:8 Sep:7 Jul:7 Jun:7 May:6 Feb:6 Oct:6 Jan:2 Dec:2 Nov:2,68,https://www.xcontest.org/world/en/flights-search/?filter[point]=15.31933%2047.5042&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,15.31933,47.5042
Sillian,Austria,212.07 km,Apr,1704,5,184,504,981,Mar:6 Aug:6 Jun:4 Apr:3 Jul:3 May:2 Feb:1 Jan:1 Sep:1 Dec:1 Oct:0 Nov:0,28,https://www.xcontest.org/world/en/flights-search/?filter[point]=12.38902%2046.77065&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,12.38902,46.77065
Wildkogel,Austria,200.16 km,Apr,1639,1,164,538,884,Aug:7 Jul:5 Sep:3 Mar:3 Apr:3 Jun:2 Feb:1 May:1 Jan:0 Oct:0 Dec:0,26,https://www.xcontest.org/world/en/flights-search/?filter[point]=12.29188%2047.28165&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,12.29188,47.28165
Zillertal,Austria,325.76 km,May Jun,1620,36,148,311,800,Jul:10 Aug:7 Jun:6 May:5 Sep:3 Oct:2 Apr:0 Nov:0 Dec:0,32,https://www.xcontest.org/world/en/flights-search/?filter[point]=11.824767%2047.219083&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,11.824767,47.219083
Hoehenstrass...,Austria,286.83 km,Apr Jun,1619,36,148,311,799,Jul:10 Aug:7 Jun:6 May:5 Sep:3 Oct:2 Apr:0 Nov:0 Dec:0,32,https://www.xcontest.org/world/en/flights-search/?filter[point]=11.8254%2047.2188&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,11.8254,47.2188
Fulseck,Austria,327.73 km,Aug Jul Jun May Sep Apr Mar,1616,2,23,123,549,Aug:11 Jul:7 Mar:6 Jun:5 Sep:5 Oct:4 Feb:3 Apr:2 Dec:2 Jan:2 May:1 Nov:0,49,https://www.xcontest.org/world/en/flights-search/?filter[point]=13.1473%2047.23528&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,13.1473,47.23528
Goding,Austria,81.56 km,Apr,1616,0,0,68,471,Aug:10 Jun:8 Mar:8 Jul:8 May:7 Apr:7 Sep:5 Oct:4 Feb:4 Dec:3 Nov:2 Jan:2,65,https://www.xcontest.org/world/en/flights-search/?filter[point]=14.91667%2046.77843&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,14.91667,46.77843
Choralpe,Austria,173.55 km,May Jun Aug Jul,1609,0,12,117,429,Jul:9 Aug:8 Jun:5 Mar:4 May:3 Sep:3 Feb:2 Oct:1 Dec:1 Jan:1 Apr:0,35,https://www.xcontest.org/world/en/flights-search/?filter[point]=12.24475%2047.41995&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,12.24475,47.41995
Landeck,Austria,209.66 km,Jul Jun,1558,6,158,387,621,Jul:6 Aug:6 Jun:4 Mar:4 Sep:3 May:1 Feb:1 Oct:0 Jan:0 Dec:0 Nov:0 Apr:0,28,https://www.xcontest.org/world/en/flights-search/?filter[point]=10.63075%2047.1461&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,10.63075,47.1461
Zettersfeld,Austria,245.89 km,Aug Apr Jul Mar,1553,1,49,246,663,Aug:13 Jul:9 Sep:8 Mar:7 Jun:4 Jan:3 Feb:3 Dec:2 Apr:1 Oct:1 Nov:0 May:0,49,https://www.xcontest.org/world/en/flights-search/?filter[point]=12.78835%2046.87475&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,12.78835,46.87475
Seegrube,Austria,331.93 km,May Apr Jun Jul,1506,18,270,722,1114,May:5 Apr:5 Jul:5 Jun:5 Mar:4 Aug:3 Sep:3 Oct:3 Feb:1 Jan:1 Nov:1 Dec:0,35,https://www.xcontest.org/world/en/flights-search/?filter[point]=11.37732%2047.30505&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,11.37732,47.30505
Muckenkogel,Austria,123.49 km,May Jun Jul Apr Aug,1478,0,2,24,161,Jul:10 Aug:9 Jun:8 Sep:8 May:6 Apr:6 Mar:4 Oct:4 Nov:2 Dec:1 Feb:1,55,https://www.xcontest.org/world/en/flights-search/?filter[point]=15.6084%2047.97832&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,15.6084,47.97832
Grünberg,Austria,136.77 km,Jul May Jun,1462,0,3,24,170,Jul:7 Jun:5 Apr:5 Aug:4 Sep:4 May:4 Dec:3 Mar:3 Oct:2 Feb:2 Jan:2 Nov:2,41,https://www.xcontest.org/world/en/flights-search/?filter[point]=13.81797%2047.89843&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,13.81797,47.89843
Venet,Austria,240.18 km,Aug Jun Jul,1426,6,153,371,584,Jul:6 Aug:6 Jun:4 Mar:4 Sep:3 May:1 Feb:1 Oct:0 Jan:0 Dec:0 Nov:0 Apr:0,28,https://www.xcontest.org/world/en/flights-search/?filter[point]=10.6232%2047.1421&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,10.6232,47.1421
Goldeck,Austria,291.29 km,Jun Jul Aug,1424,15,48,125,301,Aug:14 Jul:13 Jun:12 Sep:8 Jan:2 Dec:2 Oct:1 Mar:1 May:1 Apr:0 Feb:0 Nov:0,54,https://www.xcontest.org/world/en/flights-search/?filter[point]=13.46356%2046.756718&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,13.46356,46.756718
