site,country,largest_distance,best months for XC,num of all flights,num of 200k flights,num of 100k flights,num of 50k flights,num of 20k flights,XContest days per month,Xconotest days per year,link to XContest,longitude,latitude
Col de la Fo...,France,261.33 km,Jul Jun May,8508,5,60,608,3297,Jul:25 Aug:24 Jun:22 Sep:21 May:19 Apr:11 Oct:3 Mar:1 Nov:0 Dec:0 Feb:0 Jan:0,116,https://www.xcontest.org/world/en/flights-search/?filter[point]=6.246583%2045.814&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,6.246583,45.814
"Chalvet, St ...",France,194.59 km,Aug,4968,16,432,1557,3433,Aug:23 Sep:23 Oct:14 Jul:13 Jun:7 May:6 Apr:5 Feb:2 Nov:2 Mar:2 Jan:0,90,https://www.xcontest.org/world/en/flights-search/?filter[point]=6.4796%2043.9796&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,6.4796,43.9796
Planfait,France,178.06 km,May Jul Jun Apr,3590,0,45,447,1627,Jul:17 May:16 Jun:15 Aug:15 Apr:13 Sep:12 Mar:6 Oct:2 Feb:2 Nov:0 Jan:0 Dec:0,93,https://www.xcontest.org/world/en/flights-search/?filter[point]=6.22298%2045.85328&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,6.22298,45.85328
Chabre,France,299.94 km,Jul Aug,3274,91,425,1428,2686,Jul:14 Aug:14 Jun:12 Sep:7 May:7 Apr:6 Mar:3 Oct:1 Feb:0 Dec:0,61,https://www.xcontest.org/world/en/flights-search/?filter[point]=5.76288%2044.2975&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,5.76288,44.2975
Saint Hilaire,France,308.54 km,Apr May Jun Jul Mar,2557,28,223,658,1239,Aug:14 Sep:12 May:11 Jun:10 Apr:10 Jul:9 Mar:8 Oct:2 Feb:2 Jan:1 Dec:1 Nov:1,76,https://www.xcontest.org/world/en/flights-search/?filter[point]=5.891%2045.31035&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,5.891,45.31035
Planpraz,France,354.54 km,Jul,1642,17,212,452,917,Aug:13 Jul:10 Jun:7 Mar:5 Apr:5 Sep:5 Feb:2 Jan:1 May:1 Dec:1 Oct:1 Nov:0,48,https://www.xcontest.org/world/en/flights-search/?filter[point]=6.85062%2045.93692&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,6.85062,45.93692
Mont Lachat,France,203.94 km,Jul,1533,1,27,356,888,Jul:11 Aug:10 Jun:3 Mar:1 Apr:1 Sep:1 Feb:1 Oct:0 Dec:0 May:0 Jan:0,29,https://www.xcontest.org/world/en/flights-search/?filter[point]=6.47655%2045.958467&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,6.47655,45.958467
Mont Gross,France,50.72 km,Jan Dec Feb,1510,0,0,1,27,Feb:9 Jan:8 Dec:8 Mar:6 Oct:4 Nov:3 Apr:2 May:0 Sep:0 Aug:0 Jun:0,39,https://www.xcontest.org/world/en/flights-search/?filter[point]=7.4426%2043.76552&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,7.4426,43.76552
St. Jean,France,122.04 km,Jul Jun Aug,1345,0,5,141,835,Aug:8 Jul:8 Jun:3 Sep:2 May:0 Mar:0 Apr:0 Oct:0,21,https://www.xcontest.org/world/en/flights-search/?filter[point]=6.369017%2044.402617&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,6.369017,44.402617
St. Vincent ...,France,98.33 km,Sep Jun,1303,0,0,61,331,Sep:9 Jun:7 Aug:6 Jul:5 May:5 Apr:3 Oct:3 Mar:1 Dec:0 Feb:0 Jan:0,38,https://www.xcontest.org/world/en/flights-search/?filter[point]=6.37187%2044.44577&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,6.37187,44.44577
Gourdon,France,345.22 km,May Mar Jun Oct Feb Sep Apr Jul Aug Jan Dec Nov,1217,16,32,69,236,Aug:8 Sep:7 Jul:6 May:6 Jun:5 Oct:4 Mar:4 Apr:3 Feb:3 Dec:3 Jan:3 Nov:2,51,https://www.xcontest.org/world/en/flights-search/?filter[point]=6.947228%2043.7255&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,6.947228,43.7255
Plaine Joux,France,153.51 km,May Jul Jun Mar Apr Aug Sep,978,0,13,59,269,May:7 Sep:6 Jul:6 Jun:5 Aug:5 Mar:3 Apr:3 Feb:1 Oct:1 Nov:0 Dec:0 Jan:0,38,https://www.xcontest.org/world/en/flights-search/?filter[point]=6.73942%2045.94948&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,6.73942,45.94948
Montlambert,France,174.19 km,May Jun Mar Apr Jul,892,0,52,241,531,May:7 Mar:5 Jun:4 Apr:4 Aug:4 Jul:3 Sep:2 Feb:1 Oct:0 Nov:0 Jan:0 Dec:0,31,https://www.xcontest.org/world/en/flights-search/?filter[point]=6.104728%2045.552715&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,6.104728,45.552715
Salève,France,148.98 km,Jun May Aug Jul Apr Sep Mar,684,0,14,78,292,Jul:5 Jun:5 May:5 Apr:4 Aug:4 Sep:3 Mar:2 Oct:1 Jan:0 Feb:0 Dec:0 Nov:0,30,https://www.xcontest.org/world/en/flights-search/?filter[point]=6.18907%2046.1487&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,6.18907,46.1487
Marlens,France,230.04 km,Apr Mar May,635,8,97,233,299,May:6 Apr:5 Jul:4 Jun:3 Mar:2 Aug:2 Sep:2 Oct:0 Feb:0 Dec:0,25,https://www.xcontest.org/world/en/flights-search/?filter[point]=6.33938%2045.77753&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,6.33938,45.77753
Samoens,France,189.42 km,Jul May Jun Aug Mar Apr,575,0,8,31,101,Aug:7 Jul:5 May:4 Jun:3 Apr:2 Sep:1 Mar:1 Oct:0 Dec:0 Jan:0,24,https://www.xcontest.org/world/en/flights-search/?filter[point]=6.69765%2046.0539&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,6.69765,46.0539
Les St. Apot...,France,150.06 km,Jul Jun,553,0,42,239,385,Jul:3 Aug:3 Sep:2 Jun:1 May:0 Oct:0 Apr:0,10,https://www.xcontest.org/world/en/flights-search/?filter[point]=5.7102%2044.5438&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,5.7102,44.5438
Aspres,France,139.61 km,Jul,541,0,39,227,373,Jul:3 Sep:2 Aug:2 Jun:1 May:0 Oct:0 Apr:0,10,https://www.xcontest.org/world/en/flights-search/?filter[point]=5.71182%2044.54107&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,5.71182,44.54107
Mieussy,France,118.26 km,Jul May Jun Aug,419,0,3,32,131,Aug:4 Jul:3 Sep:2 Jun:2 May:2 Mar:1 Apr:0 Nov:0 Oct:0 Feb:0 Jan:0,15,https://www.xcontest.org/world/en/flights-search/?filter[point]=6.54795%2046.13953&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,6.54795,46.13953
Bergies,France,152.15 km,Jul Jun Aug May Sep Apr,396,0,3,69,236,Jun:3 Jul:2 Aug:1 Sep:1 May:1 Apr:0 Mar:0 Nov:0,9,https://www.xcontest.org/world/en/flights-search/?filter[point]=5.510277%2044.203008&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,5.510277,44.203008
Plan de l'Ai...,France,289.05 km,May Jun,392,6,43,76,151,Sep:7 May:5 Oct:4 Jun:4 Apr:0 Nov:0 Mar:0,20,https://www.xcontest.org/world/en/flights-search/?filter[point]=6.88263%2045.9022&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,6.88263,45.9022
Col de Bleyne,France,354.35 km,Sep Jul Aug May Jun Apr,366,17,76,128,266,May:3 Sep:3 Jul:2 Aug:2 Apr:1 Jun:1 Oct:1 Mar:0 Nov:0,14,https://www.xcontest.org/world/en/flights-search/?filter[point]=6.81212%2043.81313&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,6.81212,43.81313
Aiguebelette,France,117.66 km,Jul Aug,342,0,2,49,222,Aug:3 Jul:3 Sep:3 Jun:2 May:1 Apr:0 Mar:0 Oct:0,13,https://www.xcontest.org/world/en/flights-search/?filter[point]=5.8069%2045.60173&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,5.8069,45.60173
Semnoz,France,144.11 km,Jul Jun,311,0,3,35,139,Jun:3 Jul:2 May:2 Aug:2 Sep:1 Apr:1 Mar:0,11,https://www.xcontest.org/world/en/flights-search/?filter[point]=6.09503%2045.8049&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,6.09503,45.8049
Méruz,France,316.69 km,Apr,303,20,131,224,264,Apr:4 May:1 Jun:1 Aug:0 Mar:0 Jul:0 Feb:0 Nov:0,8,https://www.xcontest.org/world/en/flights-search/?filter[point]=6.41485%2045.7853&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,6.41485,45.7853
Entrevernes,France,106.96 km,Jun Sep May Jul Apr Aug Mar,298,0,1,10,26,Sep:3 Jun:3 May:2 Jul:2 Apr:1 Aug:1 Mar:0 Feb:0 Oct:0,13,https://www.xcontest.org/world/en/flights-search/?filter[point]=6.19378%2045.78892&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,6.19378,45.78892
Verel,France,130.46 km,Jul Jun May Apr Aug Mar Feb,291,0,13,100,210,Apr:3 Jul:2 Jun:1 May:1 Mar:1 Sep:1 Aug:1 Feb:0 Jan:0 Oct:0 Nov:0,12,https://www.xcontest.org/world/en/flights-search/?filter[point]=5.94597%2045.6269&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,5.94597,45.6269
Verel-Pragon...,France,114.79 km,Apr Jul Jun Sep May Aug Mar,291,0,13,100,210,Apr:3 Jul:2 Jun:1 May:1 Mar:1 Sep:1 Aug:1 Feb:0 Jan:0 Oct:0 Nov:0,12,https://www.xcontest.org/world/en/flights-search/?filter[point]=5.94625%2045.6268&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,5.94625,45.6268
Sambuy,France,222.46 km,Jul,288,10,79,157,224,Jul:3 Aug:2 Jun:0 May:0 Sep:0 Mar:0,8,https://www.xcontest.org/world/en/flights-search/?filter[point]=6.27623%2045.70077&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,6.27623,45.70077
