site,country,largest_distance,best months for XC,num of all flights,num of 200k flights,num of 100k flights,num of 50k flights,num of 20k flights,XContest days per month,Xconotest days per year,link to XContest,longitude,latitude
Brauneck,Germany,241.49 km,May Jun Apr,3517,5,99,351,1054,May:8 Aug:6 Jun:5 Jul:5 Mar:4 Sep:4 Oct:3 Apr:3 Feb:2 Nov:1 Dec:1 Jan:0,42,https://www.xcontest.org/world/en/flights-search/?filter[point]=11.52337%2047.66317&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,11.52337,47.66317
Tegelberg,Germany,260.45 km,Apr May Jun Jul Aug,2979,4,47,148,754,Jul:5 May:4 Aug:4 Jun:3 Apr:3 Sep:2 Oct:1 Mar:1 Dec:0 Feb:0 Nov:0,23,https://www.xcontest.org/world/en/flights-search/?filter[point]=10.77977%2047.55978&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,10.77977,47.55978
Tegelberg - ...,Germany,268.48 km,Apr May Jun Jul,2920,2,44,140,731,Jul:5 May:4 Aug:3 Jun:3 Apr:3 Sep:2 Oct:1 Mar:1 Dec:0 Feb:0 Nov:0,23,https://www.xcontest.org/world/en/flights-search/?filter[point]=10.7823%2047.5645&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,10.7823,47.5645
Wallberg,Germany,218.04 km,May Jun Apr,2644,4,77,266,751,Jul:7 Jun:6 May:5 Aug:4 Sep:4 Mar:2 Apr:2 Oct:1 Feb:1 Nov:0 Jan:0 Dec:0,33,https://www.xcontest.org/world/en/flights-search/?filter[point]=11.7906%2047.661&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,11.7906,47.661
Hochfelln,Germany,345.42 km,Jun May Apr Jul,2218,122,779,1183,1689,Jun:5 May:5 Jul:4 Aug:4 Apr:3 Sep:1 Mar:0 Oct:0 Nov:0 Feb:0,23,https://www.xcontest.org/world/en/flights-search/?filter[point]=12.55947%2047.76157&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,12.55947,47.76157
Buchenberg,Germany,74.21 km,May Apr Jun Aug Jul,1954,0,0,12,143,Jun:3 Aug:2 Jul:2 Apr:2 May:2 Oct:1 Sep:1 Mar:0 Jan:0 Dec:0 Nov:0 Feb:0,17,https://www.xcontest.org/world/en/flights-search/?filter[point]=10.8112%2047.6066&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,10.8112,47.6066
Hochries,Germany,193.12 km,Apr Jul May Jun,1848,0,44,159,546,Jul:5 Jun:4 Aug:3 Apr:3 May:2 Sep:1 Oct:0 Mar:0 Nov:0,19,https://www.xcontest.org/world/en/flights-search/?filter[point]=12.24843%2047.74718&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,12.24843,47.74718
Breitenberg,Germany,147.96 km,Apr Jun May,1621,0,6,73,412,May:4 Jul:3 Jun:2 Mar:2 Aug:1 Apr:1 Oct:1 Sep:1 Feb:1 Jan:0 Nov:0 Dec:0,19,https://www.xcontest.org/world/en/flights-search/?filter[point]=10.56578%2047.54767&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,10.56578,47.54767
Nebelhorn,Germany,265.43 km,Apr Jul Aug Jun May Mar,1211,5,78,193,454,Jul:4 Aug:4 Jun:3 Mar:3 Apr:3 Sep:2 May:2 Oct:1 Feb:1 Jan:0 Dec:0 Nov:0,24,https://www.xcontest.org/world/en/flights-search/?filter[point]=10.34515%2047.41298&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,10.34515,47.41298
Schrattenbach,Germany,112.01 km,Jun May Aug Apr Jul Mar Oct Feb Sep Nov,1197,0,2,25,88,Jul:2 Apr:2 Nov:2 Mar:1 May:1 Oct:1 Jun:1 Dec:1 Aug:1 Sep:0 Feb:0 Jan:0,13,https://www.xcontest.org/world/en/flights-search/?filter[point]=10.29767%2047.84823&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,10.29767,47.84823
