site,country,largest_distance,best months for XC,num of all flights,num of 200k flights,num of 100k flights,num of 50k flights,num of 20k flights,XContest days per month,Xconotest days per year,link to XContest,longitude,latitude
Cornizzolo,Italy,257.03 km,Apr May,15875,7,300,1854,5238,Aug:24 Jul:22 Sep:21 Jun:19 May:18 Mar:18 Apr:17 Oct:15 Dec:12 Feb:11 Nov:11 Jan:10,180,https://www.xcontest.org/world/en/flights-search/?filter[point]=9.29373%2045.83295&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,9.29373,45.83295
Meduno,Italy,184.74 km,Apr,11818,0,142,646,1897,Aug:19 Sep:19 Jul:18 Oct:18 Jun:15 Apr:15 May:14 Mar:11 Nov:7 Dec:6 Feb:3 Jan:3,136,https://www.xcontest.org/world/en/flights-search/?filter[point]=12.807%2046.23035&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,12.807,46.23035
Col Rodella,Italy,235.03 km,Sep Jun Aug May Jul Apr Mar,11695,4,104,1045,5597,Sep:25 Aug:18 Oct:10 Jul:9 Jun:7 Mar:7 May:5 Dec:2 Apr:2 Feb:2 Jan:2 Nov:2,84,https://www.xcontest.org/world/en/flights-search/?filter[point]=11.75303%2046.49683&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,11.75303,46.49683
Speikboden,Italy,270.92 km,Aug,4993,141,1695,2894,4061,Aug:14 Jul:9 Sep:8 Mar:7 Dec:5 Jun:5 Apr:5 Feb:5 Jan:5 Oct:3 Nov:1 May:0,64,https://www.xcontest.org/world/en/flights-search/?filter[point]=11.90763%2046.91448&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,11.90763,46.91448
Cavallaria,Italy,167.18 km,Apr May,4629,0,54,722,2366,Aug:16 Jun:14 Jul:14 Sep:13 May:13 Apr:13 Mar:8 Oct:8 Feb:3 Dec:3 Nov:2 Jan:2,102,https://www.xcontest.org/world/en/flights-search/?filter[point]=7.79687%2045.51345&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,7.79687,45.51345
Monte Dolada,Italy,226.19 km,Jun,3685,1,149,853,2123,Aug:13 Jul:12 Jun:10 May:7 Apr:5 Sep:4 Mar:3 Oct:1 Feb:0 Jan:0,53,https://www.xcontest.org/world/en/flights-search/?filter[point]=12.35318%2046.19127&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,12.35318,46.19127
Bassano,Italy,184.06 km,Apr Mar,3567,0,38,277,1092,Mar:11 Apr:10 Sep:9 Oct:9 May:8 Aug:5 Jun:5 Jul:4 Nov:3 Feb:2 Jan:1 Dec:1,65,https://www.xcontest.org/world/en/flights-search/?filter[point]=11.74507%2045.81203&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,11.74507,45.81203
Panarotta,Italy,188.87 km,Apr May Mar Jun,3400,0,195,730,1914,Aug:13 Mar:11 Jun:11 Apr:10 Sep:10 May:9 Jul:8 Oct:6 Feb:3 Nov:1 Jan:0 Dec:0,77,https://www.xcontest.org/world/en/flights-search/?filter[point]=11.31697%2046.04168&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,11.31697,46.04168
Antholz,Italy,308.68 km,Jun Jul,2681,832,1956,2365,2544,Aug:7 Jul:5 Jun:5 May:4 Apr:3 Sep:1 Mar:0 Oct:0 Nov:0,24,https://www.xcontest.org/world/en/flights-search/?filter[point]=12.060063%2046.851218&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,12.060063,46.851218
Bernadia,Italy,165.66 km,Apr Mar Aug,2668,0,13,135,804,Apr:11 Mar:11 Aug:11 Jun:10 May:9 Jul:9 Dec:9 Sep:9 Jan:9 Oct:8 Feb:7 Nov:5,101,https://www.xcontest.org/world/en/flights-search/?filter[point]=13.2627%2046.225733&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,13.2627,46.225733
Piossasco,Italy,114.01 km,Aug Jun Apr Jul May Sep,2566,0,1,178,1071,Aug:16 Jul:15 Sep:13 Jun:11 Apr:9 May:7 Mar:7 Oct:6 Nov:3 Dec:2 Feb:2 Jan:2,87,https://www.xcontest.org/world/en/flights-search/?filter[point]=7.44752%2044.99653&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,7.44752,44.99653
San Giacomo,Italy,146.64 km,Mar Apr May,2523,0,27,200,1144,Apr:10 Mar:9 Oct:9 Sep:9 Jan:8 Dec:8 May:8 Jun:7 Feb:7 Nov:7 Jul:7 Aug:6,88,https://www.xcontest.org/world/en/flights-search/?filter[point]=7.87498%2045.54603&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,7.87498,45.54603
Aviano,Italy,248.67 km,Apr,2463,2,79,340,1031,Aug:6 Jul:6 Mar:6 Sep:6 Dec:6 Apr:5 Oct:5 May:5 Jun:4 Feb:3 Jan:3 Nov:2,55,https://www.xcontest.org/world/en/flights-search/?filter[point]=12.53%2046.08743&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,12.53,46.08743
Revine,Italy,267.92 km,May Apr Aug Jul Jun Mar,2366,6,207,581,1238,Oct:8 Aug:8 Sep:6 May:6 Jul:6 Jun:6 Apr:5 Mar:5 Nov:2 Jan:2 Feb:2 Dec:1,55,https://www.xcontest.org/world/en/flights-search/?filter[point]=12.208258%2046.002477&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,12.208258,46.002477
Santa Elisab...,Italy,199.19 km,Apr May,2289,0,193,672,1392,Aug:9 May:9 Apr:8 Jun:7 Jul:5 Sep:4 Mar:2 Dec:2 Jan:2 Nov:1 Oct:1 Feb:0,49,https://www.xcontest.org/world/en/flights-search/?filter[point]=7.64688%2045.43872&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,7.64688,45.43872
Trubbio,Italy,191.26 km,Aug Jul Jun Mar Apr Sep May,2238,0,31,350,1545,Aug:16 Jul:11 Sep:7 Jun:6 Oct:3 Mar:3 Apr:3 Dec:3 Jan:2 May:1 Nov:1 Feb:1,54,https://www.xcontest.org/world/en/flights-search/?filter[point]=8.475617%2046.162533&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,8.475617,46.162533
