site,largest_distance,best months for XC,num of all flights,num of 200k flights,num of 100k flights,num of 50k flights,num of 20k flights,XContest days per month,Xconotest days per year,link to XContest,longitude,latitude
Ager,196.37 km,Jul Aug Jun,9818,1,447,2706,5739,Aug:24 Jul:21 Sep:20 Jun:16 Oct:14 May:12 Apr:10 Mar:8 Dec:5 Feb:5 Nov:3 Jan:2,128,https://www.xcontest.org/world/en/flights-search/?filter[point]=0.74792%2042.04545&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,0.74792,42.04545
Bellmunt,182.49 km,Apr,3488,0,22,134,1007,Aug:9 Jul:9 Apr:9 Sep:8 May:8 Mar:7 Jun:7 Feb:7 Oct:7 Dec:3 Nov:3 Jan:2,75,https://www.xcontest.org/world/en/flights-search/?filter[point]=2.2936%2042.099933&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,2.2936,42.099933
Queralt,177.56 km,Apr Jun May Jul Aug Mar Sep,1856,0,66,326,945,Jun:10 Jul:9 Aug:9 May:7 Sep:7 Mar:6 Apr:6 Oct:6 Feb:4 Dec:3 Nov:1 Jan:1,65,https://www.xcontest.org/world/en/flights-search/?filter[point]=1.82443%2042.10578&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,1.82443,42.10578
Castejon de SOS,139.42 km,Jun,1448,1,55,292,624,Aug:13 Jul:9 Sep:6 Jun:4 Oct:3 May:1 Feb:0 Dec:0 Mar:0 Jan:0,34,https://www.xcontest.org/world/en/flights-search/?filter[point]=0.5524%2042.5346&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,0.5524,42.5346
Organya,182.09 km,May,1246,0,2,44,318,Aug:11 Sep:9 Jul:7 May:6 Jun:6 Apr:5 Oct:4 Mar:2 Feb:2 Nov:1 Dec:0 Jan:0,51,https://www.xcontest.org/world/en/flights-search/?filter[point]=1.32422%2042.22845&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,1.32422,42.22845
Santa Brigida,65.46 km,Feb,1141,0,0,2,8,Dec:6 Jan:5 Nov:5 Feb:4 Oct:4 Jun:3 Sep:3 Aug:3 Mar:3 Jul:2 May:2 Apr:2,43,https://www.xcontest.org/world/en/flights-search/?filter[point]=2.6126%2042.021633&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,2.6126,42.021633
Rasos de Peg...,179.55 km,Jun May Apr Mar Sep Aug,877,0,76,275,533,Sep:3 Jun:3 Aug:3 Mar:2 Jul:2 Dec:2 Feb:2 May:2 Apr:2 Jan:1 Oct:1 Nov:1,26,https://www.xcontest.org/world/en/flights-search/?filter[point]=1.763%2042.13295&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,1.763,42.13295
Castejon de Sos,125.3 km,Aug Jul,795,0,8,54,163,Aug:10 Jul:7 Jun:6 Sep:4 Apr:1 Mar:1 May:1 Oct:1 Feb:1 Dec:0 Nov:0,33,https://www.xcontest.org/world/en/flights-search/?filter[point]=0.49965%2042.52392&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,0.49965,42.52392
Figuerassa,136.44 km,Sep Apr Jul Mar Aug Jun May Feb Oct Dec,793,0,7,27,145,Jul:5 Jun:5 Dec:4 Sep:4 Aug:4 Mar:3 Oct:3 Apr:3 Feb:3 Jan:3 Nov:2 May:2,42,https://www.xcontest.org/world/en/flights-search/?filter[point]=1.823967%2042.121617&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,1.823967,42.121617
Arangoiti,242.56 km,Jun Aug Jul,638,2,38,245,510,Jul:2 Aug:2 Jun:1 Sep:1 Apr:1 Mar:0 May:0 Oct:0 Feb:0 Jan:0 Dec:0,10,https://www.xcontest.org/world/en/flights-search/?filter[point]=-1.187717%2042.64495&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,-1.187717,42.64495
