site,country,largest_distance,best months for XC,num of all flights,num of 200k flights,num of 100k flights,num of 50k flights,num of 20k flights,XContest days per month,Xconotest days per year,link to XContest,longitude,latitude
Kobala,Slovenia,200.97 km,Aug Jul Apr,14316,1,769,4172,8805,Aug:25 Jul:25 Jun:19 May:18 Sep:16 Apr:10 Oct:4 Mar:3 Feb:0 Jan:0 Nov:0 Dec:0,110,https://www.xcontest.org/world/en/flights-search/?filter[point]=13.7841%2046.18923&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,13.7841,46.18923
Stol,Slovenia,228.98 km,Jul Aug,7414,2,807,3231,5826,Jul:17 Aug:16 Jun:15 May:10 Sep:9 Oct:2 Apr:1 Mar:0 Jan:0,66,https://www.xcontest.org/world/en/flights-search/?filter[point]=13.4783%2046.27777&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,13.4783,46.27777
Sorica,Slovenia,323.93 km,Aug Jul,1835,254,1194,1470,1689,Aug:8 Jul:7 Jun:5 Apr:1 May:1 Sep:1 Mar:0,22,https://www.xcontest.org/world/en/flights-search/?filter[point]=14.0076%2046.23042&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,14.0076,46.23042
Kovk,Slovenia,126.47 km,Mar,1423,0,11,268,778,Jul:6 Oct:3 Mar:3 Dec:3 May:3 Apr:2 Jun:2 Jan:2 Nov:2 Sep:2 Aug:2 Feb:1,32,https://www.xcontest.org/world/en/flights-search/?filter[point]=13.95912%2045.88665&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,13.95912,45.88665
Gozd,Slovenia,238.33 km,Apr Mar May,1212,2,33,109,363,Apr:6 May:6 Jul:5 Mar:5 Aug:4 Jun:4 Sep:3 Oct:2 Nov:1 Feb:0 Dec:0 Jan:0,36,https://www.xcontest.org/world/en/flights-search/?filter[point]=14.33133%2046.33953&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,14.33133,46.33953
Socerb,Slovenia,141.45 km,May Aug Jul Apr Sep Jun Oct Mar Feb Jan Dec Nov,1204,0,2,3,7,Jul:8 Apr:8 Aug:8 Jun:7 Mar:7 May:6 Oct:6 Sep:5 Dec:5 Feb:4 Jan:4 Nov:3,69,https://www.xcontest.org/world/en/flights-search/?filter[point]=13.86902%2045.60685&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,13.86902,45.60685
Krvavec,Slovenia,219.34 km,Jul,471,4,21,142,309,Aug:2 Jul:1 Jun:1 Apr:1 Mar:1 Oct:0 Sep:0 May:0 Jan:0 Nov:0,9,https://www.xcontest.org/world/en/flights-search/?filter[point]=14.52772%2046.29607&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,14.52772,46.29607
Lijak,Slovenia,220.86 km,Mar Apr Sep May Jun Jul Aug,403,1,17,119,285,Mar:4 Jul:3 Apr:2 Aug:2 May:1 Sep:1 Jun:1 Feb:0 Dec:0 Oct:0 Jan:0 Nov:0,17,https://www.xcontest.org/world/en/flights-search/?filter[point]=13.77653%2045.9456&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,13.77653,45.9456
Ambrož,Slovenia,200.95 km,Jun Jul Apr,381,1,11,37,98,Jul:2 Jun:2 Aug:2 May:1 Apr:1 Sep:1 Mar:1 Oct:1 Dec:0 Nov:0 Feb:0 Jan:0,12,https://www.xcontest.org/world/en/flights-search/?filter[point]=14.52485%2046.28175&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,14.52485,46.28175
Mrzli Vrh,Slovenia,109.19 km,May,349,0,5,31,79,May:2 Aug:2 Sep:1 Jun:1 Jul:0 Apr:0 Oct:0 Nov:0,8,https://www.xcontest.org/world/en/flights-search/?filter[point]=13.5664%2046.20875&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,13.5664,46.20875
Mrsli Vrh,Slovenia,116.48 km,Sep,348,0,5,31,78,May:2 Aug:2 Sep:1 Jun:1 Jul:0 Apr:0 Oct:0 Nov:0,8,https://www.xcontest.org/world/en/flights-search/?filter[point]=13.5697%2046.2118&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,13.5697,46.2118
Vogel,Slovenia,184.31 km,Jul Aug Sep Jun,327,0,8,15,64,Aug:4 Jun:3 Jul:3 Sep:3 May:1 Apr:0 Mar:0 Oct:0 Dec:0 Jan:0 Feb:0 Nov:0,17,https://www.xcontest.org/world/en/flights-search/?filter[point]=13.83983%2046.25225&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,13.83983,46.25225
Ratitovec,Slovenia,104.57 km,Jun Jul,252,0,3,62,172,Jun:2 Jul:0 Apr:0 Aug:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=14.09115%2046.23597&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,14.09115,46.23597
Vogar,Slovenia,81.24 km,Jun Aug Jul Sep,208,0,0,3,23,Jun:4 Aug:2 Sep:2 Jul:1 May:0 Oct:0 Nov:0 Jan:0 Feb:0 Apr:0 Dec:0 Mar:0,11,https://www.xcontest.org/world/en/flights-search/?filter[point]=13.87537%2046.29437&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,13.87537,46.29437
Lisca,Slovenia,184.93 km,Mar Apr Aug,177,0,3,11,85,Aug:1 Apr:1 Jul:0 May:0 Mar:0 Sep:0 Jun:0 Dec:0 Nov:0,5,https://www.xcontest.org/world/en/flights-search/?filter[point]=15.2836%2046.06702&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,15.2836,46.06702
Mangart,Slovenia,173.71 km,Aug,151,0,4,8,20,Aug:2 Jul:1 Sep:1 Jun:0 Oct:0 Nov:0 Apr:0,6,https://www.xcontest.org/world/en/flights-search/?filter[point]=13.64045%2046.43285&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,13.64045,46.43285
Vremščica,Slovenia,111.52 km,Jun Jul May Aug Apr Mar Sep Nov Feb Jan Dec,123,0,3,13,23,Jul:0 Jun:0 May:0 Jan:0 Mar:0 Dec:0 Oct:0 Nov:0 Aug:0 Apr:0,3,https://www.xcontest.org/world/en/flights-search/?filter[point]=14.0319%2045.6923&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,14.0319,45.6923
Kuk,Slovenia,143.38 km,Apr May Jul Jun Aug,121,0,1,18,42,Jul:1 Apr:1 Jun:1 May:1 Aug:0 Oct:0 Sep:0 Mar:0 Feb:0 Jan:0,7,https://www.xcontest.org/world/en/flights-search/?filter[point]=13.61977%2046.19487&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,13.61977,46.19487
Pohorje,Slovenia,76.01 km,Apr Aug Jun May Sep Jul,98,0,0,3,11,Jun:0 Aug:0 May:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=15.58%2046.5164&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,15.58,46.5164
Kopitnik,Slovenia,73.43 km,Mar Aug Oct Dec May Feb Jun Apr Sep Jul Nov,96,0,0,3,20,Aug:1 Mar:1 Dec:0 Sep:0 Feb:0 Jun:0 May:0 Jul:0 Oct:0 Nov:0,6,https://www.xcontest.org/world/en/flights-search/?filter[point]=15.176047%2046.112415&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,15.176047,46.112415
Sv. Lovrenc,Slovenia,120.69 km,Jul Jun May Apr Sep,88,0,1,1,1,Jul:1 Sep:1 Apr:1 Jun:1 May:1 Aug:0 Dec:0 Mar:0 Nov:0 Oct:0 Feb:0 Jan:0,72,https://www.xcontest.org/world/en/flights-search/?filter[point]=14.29877%2046.07067&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,14.29877,46.07067
Kanin,Slovenia,105.15 km,Aug Jul Sep,77,0,1,9,23,Aug:0 Jul:0 Sep:0 Apr:0 Jun:0 Mar:0 Dec:0 Feb:0,4,https://www.xcontest.org/world/en/flights-search/?filter[point]=13.47885%2046.35782&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,13.47885,46.35782
Javornik,Slovenia,26.09 km,Aug Jul,74,0,0,0,3,Apr:0 May:0 Oct:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=14.0775%2045.8958&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,14.0775,45.8958
Vrše-Porezen,Slovenia,170.37 km,Aug Jun May Jul Oct,69,0,3,8,49,Jun:0 Jul:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=13.993%2046.1623&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,13.993,46.1623
Jelenk,Slovenia,134.61 km,Jul Jun Feb Apr Jan Aug Dec May Sep Oct Mar Nov,64,0,2,4,10,Aug:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=14.0042%2046.0459&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,14.0042,46.0459
