site,country,largest_distance,best months for XC,num of all flights,num of 200k flights,num of 100k flights,num of 50k flights,num of 20k flights,XContest days per month,Xconotest days per year,link to XContest,longitude,latitude
Fiesch,Switzerland,342.13 km,Aug Jul,19716,515,5252,12030,16833,Aug:21 Jul:20 Jun:15 Sep:14 Mar:11 Apr:10 Oct:8 Feb:8 Dec:5 May:5 Jan:4 Nov:2,113,https://www.xcontest.org/world/en/flights-search/?filter[point]=8.10342%2046.41208&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,8.10342,46.41208
Weissenstein,Switzerland,251.05 km,Jul Aug,8795,26,1268,4112,7254,Aug:14 Jun:12 Jul:11 May:10 Apr:9 Sep:8 Mar:5 Oct:4 Feb:3 Nov:1 Dec:0 Jan:0,72,https://www.xcontest.org/world/en/flights-search/?filter[point]=7.510315%2047.25095&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,7.510315,47.25095
Brunni,Switzerland,191.45 km,Jun May Jul,7596,0,158,698,3472,Aug:16 Jul:14 Jun:13 Mar:11 Oct:11 Sep:10 Dec:9 May:9 Feb:8 Nov:7 Jan:6 Apr:4,108,https://www.xcontest.org/world/en/flights-search/?filter[point]=8.4098%2046.84102&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,8.4098,46.84102
Fanas,Switzerland,307.17 km,Apr May Jun,6274,208,1336,3233,4775,Mar:13 Apr:13 May:11 Jun:8 Feb:6 Oct:6 Nov:5 Sep:5 Dec:4 Jul:4 Aug:3 Jan:2,75,https://www.xcontest.org/world/en/flights-search/?filter[point]=9.68947%2047.0026&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,9.68947,47.0026
Ebenalp,Switzerland,259.83 km,Jun Jul May,6163,5,79,464,2611,Aug:13 Jul:13 Jun:12 May:10 Sep:7 Mar:6 Apr:2 Oct:1 Feb:1 Dec:0 Jan:0 Nov:0,63,https://www.xcontest.org/world/en/flights-search/?filter[point]=9.4105%2047.28428&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,9.4105,47.28428
Niesen,Switzerland,343.88 km,Jul,5111,152,1258,2588,3836,Jul:14 Aug:14 Jun:10 May:10 Sep:9 Oct:8 Apr:3 Nov:2 Dec:0,66,https://www.xcontest.org/world/en/flights-search/?filter[point]=7.64907%2046.644&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,7.64907,46.644
Marbachegg,Switzerland,332.17 km,Jul Jun Apr May,4536,6,65,506,2153,Aug:16 Jul:16 Jun:15 Sep:12 May:12 Apr:6 Mar:6 Oct:6 Feb:3 Dec:2 Jan:2 Nov:0,90,https://www.xcontest.org/world/en/flights-search/?filter[point]=7.90455%2046.83485&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,7.90455,46.83485
Cimetta,Switzerland,285.74 km,Apr,4445,23,264,790,1872,Jul:17 Aug:17 Jun:14 Mar:13 Apr:12 Sep:12 May:11 Oct:10 Feb:6 Jan:6 Dec:4 Nov:1,114,https://www.xcontest.org/world/en/flights-search/?filter[point]=8.7991%2046.19782&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,8.7991,46.19782
Niederwiler ...,Switzerland,242.13 km,Jul Jun Apr May Aug,4352,14,497,1854,3524,Jul:12 Aug:12 May:11 Apr:11 Jun:10 Mar:8 Sep:5 Oct:1 Nov:0 Feb:0 Jan:0 Dec:0,66,https://www.xcontest.org/world/en/flights-search/?filter[point]=7.56012%2047.26908&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,7.56012,47.26908
Obere Wengi,Switzerland,297.47 km,Apr May Jun Jul Aug,3718,24,497,1499,2506,Apr:11 May:8 Jun:8 Aug:8 Mar:8 Sep:6 Jul:5 Oct:4 Feb:2 Nov:1 Dec:0 Jan:0,58,https://www.xcontest.org/world/en/flights-search/?filter[point]=7.62723%2047.326&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,7.62723,47.326
